"Movie","Release Date","Distribution","Domestic","Inflation Domestic","International","Inflation International","Worldwide","Inflation Worldwide","Opening Weekend","Inflation Opening Weekend","Budget","Inflation Budget","Run Time","IMDb Score","Meta Score","Tomato Meter","Tomato Audience","Director","Franchise"
"The Exorcist","12/26/1973","Warner Bros. Pictures","230,956,951","1,196,917,266","197,867,132","1,025,431,734","428,824,083","2,222,349,000","","","12,000,000","62,189,110","122","8.1","82","78","87","William Friedkin","The Exorcist"
"Exorcist : The Heretic","6/17/1977","Warner Bros. Pictures","25,011,000","118,101,268","","","25,011,000","118,101,268","","","14,000,000","66,107,623","117","3.8","39","11","13","John Boorman","The Exorcist"
"The Exorcist III","8/17/1990","20th Century Fox","25,011,739","62,410,805","","","25,011,739","62,410,805","","","11,000,000","27,447,866","110","6.5","48","59","57","William Peter Blatty","The Exorcist"
"Exorcist: The Beginning","8/20/2004","Warner Bros. Pictures","41,814,863","70,903,460","2,142,678","3,633,236","43,957,541","74,536,696","18,054,001","30,613,305","78,000,000","132,260,863","114","5.1","30","11","27","Renny Harlin","The Exorcist"
"Dominion: Prequel to the Exorcist","5/20/2005","Warner Bros. Pictures","251,495","413,134","","","251,495","413,134","138,311","227,205","30,000,000","49,281,377","117","5.1","55","30","25","Paul Schrader","The Exorcist"
"The Exorcist: Believer","10/6/2023","Universal Pictures","65,537,395","65,537,395","71,425,783","71,425,783","136,963,178","136,963,178","26,497,600","26,497,600","30,000,000","30,000,000","111","4.8","39","22","59","David Gordon Green","The Exorcist"
"Hellraiser","9/10/1987","Entertainment Film Distributors","14,564,000","39,222,228","11,148","30,023","14,575,148","39,252,251","4,453,232","11,992,975","1,000,000","2,693,094","94","6.9","56","70","73","Clive Barker","Hellraiser"
"Hellbound: Hellraiser II","12/23/1988","New World Pictures","11,611,883","30,072,964","","","11,611,883","30,072,964","3,185,511","8,249,976","3,000,000","7,769,532","97","6.4","41","53","58","Tony Randel","Hellraiser"
"Hellraiser III: Hell on Earth","9/11/1992","Miramax Films","12,525,537","31,781,657","","","12,525,537","31,781,657","3,208,009","8,139,838","5,000,000","12,686,744","97","5.5","50","38","35","Anthony Hickox","Hellraiser"
"Hellraiser: Bloodline","3/8/1996","Miramax Films","9,321,492","22,207,075","","","9,321,492","22,207,075","4,505,036","10,732,581","4,000,000","9,529,408","85","5.1","21","24","36","Kevin Yagher","Hellraiser"
"Alien","5/25/1979","20th Century Fox","62,005,728","255,494,234","122,631,433","505,302,091","184,637,161","760,796,325","3,522,581","14,514,774","10,700,000","44,089,286","117","8.5","89","93","94","Ridley Scott","Alien"
"Aliens","7/18/1986","20th Century Fox","85,160,248","241,708,189","98,131,645","278,524,579","183,291,893","520,232,768","10,052,042","28,530,458","17,000,000","48,250,672","137","8.4","84","98","94","James Cameron","Alien"
